City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Atuona,PF,80.49,clear sky,-9.8,-139.0333,Villa Enata
4,Sola,VU,83.16,scattered clouds,-13.8833,167.55,Leumerus Bungalows
7,Cabo San Lucas,MX,81.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
8,Grand Gaube,MU,75.99,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
11,Rikitea,PF,77.76,scattered clouds,-23.1203,-134.9692,Pension Maro'i
12,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
13,Dong Hoi,VN,76.77,clear sky,17.4833,106.6,Nam Long Hotel
18,San Pedro,PH,82.4,broken clouds,14.35,121.0167,OYO 412 Viewfort Venue
30,Hithadhoo,MV,82.08,broken clouds,-0.6,73.0833,Scoop Guest House
31,High Rock,BS,80.6,broken clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
35,Bengkulu,ID,75.4,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
37,Vila Velha,BR,79.0,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
39,Kapaa,US,78.8,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
44,Biak,ID,77.65,overcast clouds,-0.9131,122.8766,Penginapan Kim
47,Yaring,TH,77.92,broken clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
49,Gorontalo,ID,77.18,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
51,Bubaque,GW,77.99,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
52,Saint-Georges,GD,80.6,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
53,Faanui,PF,81.68,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
56,Qui Nhon,VN,76.57,light rain,13.7667,109.2333,Hoang Yen Canary Hotel
57,Ixtapa,MX,82.4,clear sky,20.7,-105.2,Hotel Plaza Providencia
71,Harper,LR,81.37,broken clouds,4.375,-7.7169,Screensaver
74,Saint-Joseph,RE,75.2,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
79,Salalah,OM,82.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
88,Puerto Ayora,EC,82.4,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
90,Hobyo,SO,83.43,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
91,Bowen,AU,75.2,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
92,Sabang,ID,83.64,broken clouds,5.8933,95.3214,Hotel Citra
96,Morondava,MG,77.14,broken clouds,-20.2833,44.2833,La Case Bambou
106,Butaritari,KI,82.0,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
111,Hilo,US,84.2,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
114,Saint George,US,79.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
118,Olmos,PE,81.77,scattered clouds,-5.9847,-79.7453,Hospedaje El Olmo
122,Mogadishu,SO,82.53,light rain,2.0371,45.3438,Hotel Juba
128,Vaini,TO,84.2,few clouds,-21.2,-175.2,Keleti Beach Resort
130,Acapulco,MX,86.0,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
138,Sai Buri,TH,77.63,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
145,Bharatpur,IN,75.97,clear sky,27.2167,77.4833,OYO 22446 Sonar Haveli
146,Georgetown,MY,81.0,few clouds,5.4112,100.3354,Cititel Penang
147,Kahului,US,82.4,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
154,Kloulklubed,PW,77.0,broken clouds,7.0419,134.2556,Storyboard Beach Resort
156,Puerto Colombia,CO,86.0,few clouds,10.9878,-74.9547,Hotel El Emigrante
164,Makakilo City,US,82.4,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
168,Avarua,CK,82.4,light rain,-21.2078,-159.775,Paradise Inn
169,Saint-Philippe,RE,75.2,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
175,Keta,GH,82.4,few clouds,5.9179,0.9879,A&Y Wild Camp Ghana
176,Azare,NG,87.08,broken clouds,11.6765,10.1948,Muk hostel
177,Cukai,MY,77.0,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
178,Barpali,IN,83.01,clear sky,21.2,83.5833,GREEN HOUSE LODGE
182,Boyuibe,BO,78.8,broken clouds,-20.4167,-63.2833,Residencial Eluzai
194,Nhulunbuy,AU,78.8,light rain,-12.2333,136.7667,East Arnhem Real Estate
195,Samarai,PG,83.82,broken clouds,-10.6167,150.6667,Nuli Sapi
198,Thayetmyo,MM,81.55,clear sky,19.3167,95.1833,Htarwaya Thitsar Guest House
201,Padang,ID,75.2,scattered clouds,-0.9492,100.3543,Mercure Padang
203,Bathsheba,BB,80.6,scattered clouds,13.2167,-59.5167,Atlantis Hotel
206,Matara,LK,76.6,heavy intensity rain,5.9485,80.5353,Amaloh Boutique Resort
207,Balikpapan,ID,76.01,overcast clouds,-1.2675,116.8289,ibis Balikpapan
212,Soyo,AO,78.62,light rain,-6.1349,12.3689,Hotel Mpampa
213,Atlantic Beach,US,75.2,broken clouds,30.3344,-81.3987,One Ocean Resort & Spa
219,Laguna,US,75.99,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
227,San Patricio,US,80.6,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
230,Emerald,AU,75.99,broken clouds,-23.5333,148.1667,The Irish Village
248,Union,US,75.2,clear sky,40.6334,-74.2663,Homewood Suites by Hilton Newark-Cranford
249,Kutum,SD,76.91,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
251,Lakeland Highlands,US,80.01,broken clouds,27.9597,-81.9501,Imperial Swan Hotel Of Lakeland
253,Carutapera,BR,75.45,moderate rain,-1.195,-46.02,Lidera
