City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Atuona,PF,-9.8,-139.0333,80.49,74,2,17.31,clear sky
1,Egvekinot,RU,66.3167,-179.1667,20.46,77,31,3.27,scattered clouds
2,Lasa,IT,46.6166,10.7002,37.4,70,0,2.3,clear sky
3,Ushuaia,AR,-54.8,-68.3,44.6,57,20,8.05,few clouds
4,Sola,VU,-13.8833,167.55,83.16,75,35,15.41,scattered clouds
5,Cape Town,ZA,-33.9258,18.4232,61.0,94,61,8.05,broken clouds
6,Pisco,PE,-13.7,-76.2167,69.8,78,0,26.46,clear sky
7,Cabo San Lucas,MX,22.8909,-109.9124,81.0,31,1,11.5,clear sky
8,Grand Gaube,MU,-20.0064,57.6608,75.99,85,98,5.99,overcast clouds
9,Port Lincoln,AU,-34.7333,135.8667,55.83,56,15,4.16,few clouds
10,Santa Maria,BR,-29.6842,-53.8069,69.8,64,0,5.75,clear sky
11,Rikitea,PF,-23.1203,-134.9692,77.76,72,33,4.74,scattered clouds
12,Mahebourg,MU,-20.4081,57.7,78.8,83,75,10.36,light rain
13,Dong Hoi,VN,17.4833,106.6,76.77,88,0,6.17,clear sky
14,Puerto Carreno,CO,6.189,-67.4859,90.5,34,82,1.05,broken clouds
15,Ballina,AU,-28.8667,153.5667,68.0,68,0,8.05,clear sky
16,Upernavik,GL,72.7868,-56.1549,7.5,84,97,5.01,overcast clouds
17,Hualmay,PE,-11.0964,-77.6139,68.83,83,7,11.9,clear sky
18,San Pedro,PH,14.35,121.0167,82.4,83,75,3.44,broken clouds
19,Hermanus,ZA,-34.4187,19.2345,60.01,88,100,1.99,overcast clouds
20,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,72,0,9.22,clear sky
21,Thompson,CA,55.7435,-97.8558,33.8,69,90,16.11,overcast clouds
22,Punta Arenas,CL,-53.15,-70.9167,44.6,61,0,11.5,clear sky
23,Ahipara,NZ,-35.1667,173.1667,67.21,79,18,5.64,few clouds
24,Yellowknife,CA,62.456,-114.3525,44.6,53,20,6.91,few clouds
25,Vestmanna,FO,62.1564,-7.1664,32.0,80,6,6.91,clear sky
26,Saskylakh,RU,71.9167,114.0833,-9.85,99,91,2.04,overcast clouds
27,Airai,TL,-8.9266,125.4092,61.97,80,90,0.31,overcast clouds
28,Ushtobe,KZ,45.2514,77.9838,33.15,67,100,22.64,overcast clouds
29,East London,ZA,-33.0153,27.9116,65.71,84,52,12.26,broken clouds
30,Hithadhoo,MV,-0.6,73.0833,82.08,68,60,6.58,broken clouds
31,High Rock,BS,26.6208,-78.2833,80.6,83,75,13.8,broken clouds
32,Yamada,JP,39.4667,141.95,51.85,40,0,6.04,clear sky
33,Sieradz,PL,51.5958,18.7302,46.0,83,79,6.69,broken clouds
34,Arraial Do Cabo,BR,-22.9661,-42.0278,73.4,83,20,14.97,few clouds
35,Bengkulu,ID,-3.8004,102.2655,75.4,89,49,4.12,scattered clouds
36,Bredasdorp,ZA,-34.5322,20.0403,53.6,94,100,3.8,overcast clouds
37,Vila Velha,BR,-20.3297,-40.2925,79.0,88,75,1.14,broken clouds
38,San Carlos De Bariloche,AR,-41.1456,-71.3082,55.4,58,20,5.75,few clouds
39,Kapaa,US,22.0752,-159.319,78.8,73,75,10.36,light rain
40,Fairbanks,US,64.8378,-147.7164,44.01,38,1,6.91,clear sky
41,Charters Towers,AU,-20.1,146.2667,72.64,85,98,8.48,overcast clouds
42,Hofn,IS,64.2539,-15.2082,36.66,45,12,9.62,few clouds
43,Qaqortoq,GL,60.7167,-46.0333,37.4,56,75,4.61,broken clouds
44,Biak,ID,-0.9131,122.8766,77.65,81,96,3.36,overcast clouds
45,Tiznit,MA,29.5833,-9.5,59.63,77,13,4.52,few clouds
46,Bluff,NZ,-46.6,168.3333,57.0,77,70,4.0,light rain
47,Yaring,TH,6.8662,101.3689,77.92,85,80,4.81,broken clouds
48,Keetmanshoop,NA,-26.5833,18.1333,69.8,24,2,10.36,clear sky
49,Gorontalo,ID,0.5412,123.0595,77.18,85,100,1.77,overcast clouds
50,Barrow,US,71.2906,-156.7887,19.4,68,1,16.11,clear sky
51,Bubaque,GW,11.2833,-15.8333,77.99,71,17,19.73,few clouds
52,Saint-Georges,GD,12.0564,-61.7485,80.6,74,75,13.8,broken clouds
53,Faanui,PF,-16.4833,-151.75,81.68,72,67,10.09,light rain
54,Dikson,RU,73.5069,80.5464,7.68,92,100,20.4,overcast clouds
55,Ostrovnoy,RU,68.0531,39.5131,35.13,66,0,19.08,clear sky
56,Qui Nhon,VN,13.7667,109.2333,76.57,92,100,3.91,light rain
57,Ixtapa,MX,20.7,-105.2,82.4,61,1,16.11,clear sky
58,Atambua,ID,-9.1061,124.8925,72.73,81,68,2.06,broken clouds
59,Khandagayty,RU,50.7333,92.05,24.51,57,100,6.78,overcast clouds
60,Tasiilaq,GL,65.6145,-37.6368,23.0,68,20,1.14,few clouds
61,Igrim,RU,63.1906,64.4162,30.81,96,96,2.48,overcast clouds
62,Albany,US,42.6001,-73.9662,53.01,50,97,1.99,overcast clouds
63,Naze,JP,28.3667,129.4833,68.0,73,75,18.41,broken clouds
64,Hobart,AU,-42.8794,147.3294,45.0,75,20,11.5,few clouds
65,Kazanskaya,RU,45.4106,40.4361,51.13,77,80,18.37,broken clouds
66,Codrington,AU,-38.2667,141.9667,51.35,61,100,8.21,overcast clouds
67,Qaanaaq,GL,77.484,-69.3632,-0.24,72,99,6.31,overcast clouds
68,Mataura,NZ,-46.1927,168.8643,57.0,77,13,4.0,light rain
69,Urumqi,CN,43.801,87.6005,55.4,47,0,6.71,clear sky
