City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kodiak,US,2021-04-16 23:02:16,57.79,-152.4072,46.4,66,40,8.05
1,Punta Arenas,CL,2021-04-16 23:02:08,-53.15,-70.9167,44.6,81,40,10.36
2,Ushuaia,AR,2021-04-16 23:03:02,-54.8,-68.3,44.6,70,40,23.02
3,Rikitea,PF,2021-04-16 23:04:40,-23.1203,-134.9692,77.29,71,100,9.71
4,Catia La Mar,VE,2021-04-16 23:04:40,10.6038,-67.0303,84.2,74,40,5.75
5,Jamestown,US,2021-04-16 23:04:40,42.097,-79.2353,39.0,93,90,11.5
6,Nosy Varika,MG,2021-04-16 23:04:41,-20.5833,48.5333,73.62,89,84,7.07
7,Flinders,AU,2021-04-16 23:04:41,-34.5833,150.8552,59.0,86,100,1.01
8,Bluff,NZ,2021-04-16 23:04:42,-46.6,168.3333,48.99,82,94,8.01
9,Hasaki,JP,2021-04-16 23:04:42,35.7333,140.8333,61.0,77,75,5.75
10,Leningradskiy,RU,2021-04-16 23:04:43,69.3833,178.4167,34.32,87,100,2.71
11,Olafsvik,IS,2021-04-16 23:04:43,64.8945,-23.7142,38.12,73,81,32.06
12,Clarence Town,AU,2021-04-16 23:04:43,-32.5833,151.7833,59.0,100,90,6.91
13,Yellowknife,CA,2021-04-16 23:00:10,62.456,-114.3525,46.4,46,40,13.8
14,Krutinka,RU,2021-04-16 23:04:44,56.0055,71.5113,26.37,84,7,4.97
15,Atlantic City,US,2021-04-16 23:04:44,39.3643,-74.4229,55.99,47,90,9.22
16,Port Alfred,ZA,2021-04-16 23:04:45,-33.5906,26.891,62.47,62,3,19.39
17,Bilibino,RU,2021-04-16 23:04:45,68.0546,166.4372,22.03,77,99,12.86
18,Zelenoborskiy,RU,2021-04-16 23:04:46,66.845,32.3622,30.99,93,63,3.96
19,Pisco,PE,2021-04-16 23:04:46,-13.7,-76.2167,69.8,78,0,11.5
20,Kelo,TD,2021-04-16 23:04:46,9.3086,15.8066,91.22,19,23,4.25
21,Kushiro,JP,2021-04-16 23:04:47,42.975,144.3747,44.6,87,75,6.91
22,Kitami,JP,2021-04-16 23:04:47,43.8031,143.8908,53.6,62,75,18.41
23,Hilo,US,2021-04-16 23:04:47,19.7297,-155.09,80.6,54,1,10.36
24,Cumanayagua,CU,2021-04-16 23:04:48,22.1494,-80.2022,80.6,69,0,12.66
25,Constitucion,CL,2021-04-16 23:04:48,-35.3333,-72.4167,56.84,81,100,8.25
26,Sioni,GE,2021-04-16 23:04:49,41.9895,45.0239,55.4,67,0,4.61
27,Mataura,NZ,2021-04-16 23:04:49,-46.1927,168.8643,48.99,82,90,8.01
28,Touros,BR,2021-04-16 23:04:49,-5.1989,-35.4608,78.8,83,40,4.61
29,Umm Kaddadah,SD,2021-04-16 23:04:50,13.6017,26.6876,75.04,8,21,13.27
30,Tilichiki,RU,2021-04-16 23:04:50,60.4667,166.1,25.11,82,100,12.12
